Caprice,4,22.286776,114.156631,macau
Lung King Heen,3,22.286776,114.156631,macau
Domani,4,22.277729,114.165031,macau
Tin Lung Heen Restaurant,3,22.303381,114.160231,macau
L'Atelier de Joel Robuchon,4,22.281576,114.157868,macau
La Bastide Saint Antoine,4,43.64672,6.926307,monte carlo
Chteau Eza,3,43.727732,7.361299,monte carlo
Chteau Saint-Martin & Spa,4,43.73284,7.105901,monte carlo
Le Louis XV,4,43.739127,7.427154,monte carlo
La Palme d'Or,4,43.547672,7.030828,monte carlo
Le Mas Candille - Hotel Restaurant Spa,4,43.599468,6.991349,monte carlo
Le Negresco,4,43.694585,7.25824,monte carlo
Kei's Passion,3,43.696163,7.262269,monte carlo
Tantris,4,48.169837,11.588361,munich
Schuhbecks in den Sdtiroler Stuben,4,48.137912,11.580333,munich
anna hotel,1,48.139578,11.563383,munich
Mark's Restaurant (Inside Mandarin Oriental),3,48.137317,11.580914,munich
Bogenhauser Hof,3,48.146506,11.603586,munich
Jean-Georges,4,40.769084,-73.981431,new york
Le Bernardin,4,40.761548,-73.981787,new york
Casa Mono,3,40.735861,-73.987136,new york
Per Se,4,40.768275,-73.983054,new york
Torishin,3,40.76317,-73.95967,new york
Eleven Madison Park,4,40.741491,-73.986489,new york
Aureole,4,40.755632,-73.985258,new york
15 East Restaurant,3,40.736414,-73.992128,new york
Del Posto,4,40.743435,-74.007365,new york
Laut,2,40.737688,-73.991,new york
Ai Fiori,4,40.750228,-73.983714,new york
Telepan,3,40.775233,-73.979982,new york
Jewel Bako,3,40.727033,-73.989345,new york
Caf China,2,40.750071,-73.982129,new york
Tulsi,3,40.753265,-73.971871,new york
Cafe Boulud,4,40.77439,-73.963984,new york
Gramercy Tavern,4,40.738381,-73.988463,new york
Daniel,4,40.766729,-73.967605,new york
The River Caf,4,40.703684,-73.994861,new york
La Marina,2,40.86895,-73.931876,new york
Feinschmecker,4,59.918442,10.708102,oslo
Le Royal Monceau - Raffles Paris,4,48.875814,2.300429,paris
Carr des Feuillants,4,48.86622,2.328435,paris
Arpge,4,48.855745,2.317101,paris
Astrance,4,48.858366,2.287605,paris
Il Carpaccio,4,48.875808,2.30039,paris
Le Meurice Restaurant,4,48.86513,2.3281,paris
Taillevent,4,48.874096,2.302475,paris
Le Cinq,4,48.868756,2.300299,paris
Pavillon LeDoyen,4,48.866035,2.316199,paris
La Pergola,4,41.918831,12.446491,rome
Imgo,4,41.906099,12.48385,rome
Il Pagliaccio - Rome,4,41.897884,12.467397,rome
Glass Hostaria,4,41.890529,12.469172,rome
L'Eau Vive,2,41.897821,12.475633,rome
La Rive,4,52.36026,4.90527,rotterdam
Parkheuvel,3,51.903847,4.47161,rotterdam
Restaurant Vermeer,4,52.376479,4.900579,rotterdam
De Kas,3,52.352295,4.930351,rotterdam
Atelier Crenn,4,37.798392,-122.436005,san francisco
Luce Restaurant,3,37.781966,-122.4049,san francisco
State Bird Provisions,3,37.783695,-122.433062,san francisco
Aziza,3,37.780442,-122.481733,san francisco
One Market Restaurant,3,37.793731,-122.395002,san francisco
Manresa,4,37.227397,-121.980879,san francisco
Sons & Daughters,3,37.790277,-122.409093,san francisco
Gary Danko,4,37.805845,-122.420621,san francisco
Boulevard,3,37.793301,-122.392916,san francisco
SPQR,3,37.787361,-122.433727,san francisco
KEIKO  Nob Hill,4,37.793111,-122.41433,san francisco
Chez TJ,4,37.394628,-122.08044,san francisco
COI Restaurant,4,37.798108,-122.403401,san francisco
Ame Restaurant,3,37.786315,-122.401671,san francisco
1601 Bar & Kitchen,2,37.771499,-122.416746,san francisco
Frances,2,37.762778,-122.432206,san francisco
Chez Panisse,3,37.879583,-122.268897,san francisco
Commonwealth,3,37.761321,-122.419554,san francisco
Le Colonial,3,37.78818,-122.412407,san francisco
Spruce,3,37.78762,-122.452734,san francisco
Den Gyldene Freden,3,59.323137,18.073974,stockholm
Smak p Restaurangen,3,59.335227,18.065321,stockholm
Restaurang Operakllaren,4,59.32986,18.071543,stockholm
Palace Hotel Tokyo,4,35.684658,139.761258,tokyo
Sushi Mizutani,4,35.66836,139.761106,tokyo
[French] Restaurant MONNALISA,3,35.681314,139.763562,tokyo
Kyoto Tsuruya at The Peninsula,4,35.674705,139.760659,tokyo
Fureika,3,35.656218,139.738468,tokyo
Sukiyabashi Jiro,4,35.672614,139.764037,tokyo
L'Effervescence,4,35.660214,139.719405,tokyo
RESTAURANT SANT PAU,4,35.682864,139.775089,tokyo
Hilton Tokyo Hotel,2,35.692554,139.691073,tokyo
